Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,60718.70703,60718.70703,60718.70703,60718.70703,60718.70703,0
2021-11-16,60322.37109,60322.37109,60322.37109,60322.37109,60322.37109,0
2021-11-17,60008.33203,60008.33203,60008.33203,60008.33203,60008.33203,0
2021-11-18,59636.01172,59636.01172,59636.01172,59636.01172,59636.01172,0
2021-11-22,58465.89063,58465.89063,58465.89063,58465.89063,58465.89063,0
2021-11-23,58664.32813,58664.32813,58664.32813,58664.32813,58664.32813,0
2021-11-24,58340.98438,58340.98438,58340.98438,58340.98438,58340.98438,0
2021-11-25,null,null,null,null,null,null
2021-11-26,57107.14844,57107.14844,57107.14844,57107.14844,57107.14844,0
2021-11-29,57260.57813,57260.57813,57260.57813,57260.57813,57260.57813,0
2021-11-30,57064.87109,57064.87109,57064.87109,57064.87109,57064.87109,0
2021-12-01,57684.79297,57684.79297,57684.79297,57684.79297,57684.79297,0
2021-12-02,58461.28906,58461.28906,58461.28906,58461.28906,58461.28906,0
2021-12-03,57696.45703,57696.45703,57696.45703,57696.45703,57696.45703,0
2021-12-06,null,null,null,null,null,null
2021-12-07,57633.64844,57633.64844,57633.64844,57633.64844,57633.64844,0
2021-12-08,58649.67969,58649.67969,58649.67969,58649.67969,58649.67969,0
2021-12-09,58807.13281,58807.13281,58807.13281,58807.13281,58807.13281,0
2021-12-10,58786.66797,58786.66797,58786.66797,58786.66797,58786.66797,0
2021-12-13,58283.41406,58283.41406,58283.41406,58283.41406,58283.41406,0
2021-12-14,58117.08984,58117.08984,58117.08984,58117.08984,58117.08984,0
2021-12-15,57788.03125,57788.03125,57788.03125,57788.03125,57788.03125,0
2021-12-16,57901.14063,57901.14063,57901.14063,57901.14063,57901.14063,0
2021-12-17,57011.74219,57011.74219,57011.74219,57011.74219,57011.74219,0
2021-12-20,55822.01563,55822.01563,55822.01563,55822.01563,55822.01563,0
2021-12-21,56319.01563,56319.01563,56319.01563,56319.01563,56319.01563,0
2021-12-22,56930.55859,56930.55859,56930.55859,56930.55859,56930.55859,0
2021-12-23,57315.28125,57315.28125,57315.28125,57315.28125,57315.28125,0
2021-12-24,null,null,null,null,null,null
2021-12-27,57420.24609,57420.24609,57420.24609,57420.24609,57420.24609,0
2021-12-28,57897.47656,57897.47656,57897.47656,57897.47656,57897.47656,0
2021-12-29,57806.48828,57806.48828,57806.48828,57806.48828,57806.48828,0
2021-12-30,57794.32031,57794.32031,57794.32031,57794.32031,57794.32031,0
2021-12-31,58253.82422,58253.82422,58253.82422,58253.82422,58253.82422,0
2022-01-03,59183.22266,59183.22266,59183.22266,59183.22266,59183.22266,0
2022-01-04,59855.93359,59855.93359,59855.93359,59855.93359,59855.93359,0
